,sent,CODA,prep
0,بتفتش لحاجة,بتفتش لي حاجة,بتفتش لحاجة
1,داير لي غرفة بحمام,داير لي غرفة بي حمام,داير لي غرفة بحمام
2,داير اأجر عربية اوتوماتيك ليومين,داير اأجر عربية اوتوماتيك لي يومين,داير اأجر عربية اوتوماتيك ليومين
3,انا محتاج لتاكسي انا في ساوث مين و لايبرتي,انا محتاج لي تاكسي انا في ساوث مين و لايبرتي,انا محتاج لتاكسي انا في ساوث مين و لايبرتي
4,داير اشتري طلبات لعشره كروت بريد لليابان من فضلك,داير اشتري طلبات لي عشره كروت بريد لليابان من فضلك,داير اشتري طلبات لعشره كروت بريد لليابان من فضلك
5,وين استلام العفش لرحلة سبعة صفر تلاتة,وين استلام العفش لي رحلة سبعة صفر ثلاثة,وين استلام العفش لرحلة سبعة صفر تلاتة
6,هل البص داك بمشي لفندق الهيلتون,هل البص داك بمشي لي فندق الهيلتون,هل البص داك بمشي لفندق الهيلتون
7,ميزانتنا حوالي خمسين دولار ككل لتلات اشخاص,ميزانتنا حوالي خمسين دولار ككل لي ثلاثة اشخاص,ميزانتنا حوالي خمسين دولار ككل لتلات اشخاص
8,وين ممكن القى بص لمعالم المدينة,وين ممكن القى بص لي معالم المدينة,وين ممكن القى بص لمعالم المدينة
9,داير اعمل حجز لتلاتة و نص بعد الظهر,داير اعمل حجز لي ثلاثة و نص بعد الظهر,داير اعمل حجز لتلاتة و نص بعد الظهر
10,ممكن ادفع بشيك سياحي,ممكن ادفع بي شيك سياحي,ممكن ادفع بشيك سياحي
11,اي محل من تلاتين لخمسين دولار لليلة,اي محل من ثلاثين لي خمسين دولار لليلة,اي محل من تلاتين لخمسين دولار لليلة
12,اي عفش زول تاني وصل لغرفتي قبل شوية  ممكن تراجعه من فضلك,اي عفش زول تاني وصل لي غرفتي قبل شوية  ممكن تراجعه من فضلك,اي عفش زول تاني وصل لغرفتي قبل شوية ممكن تراجعه من فضلك
13,داير اأكد رحلتي لشيكاغو يوم سبعتاشر,داير اأكد رحلتي لي شيكاغو يوم سبعتعشر,داير اأكد رحلتي لشيكاغو يوم سبعتاشر
14,بصراحة انا ما موافق على داك,بي صراحة انا ما موافق على داك,بصراحة انا ما موافق على داك
15,ياتو بص بمشي لميامي,ياتو بص بمشي لي ميامي,ياتو بص بمشي لميامي
16,هو بقفل في ايام الاتنين لكن يوم مختلف بكون اوكي اعتقد ان بفتح من تسعة لخمسة,هو بقفل في ايام الاثنين لكن يوم مختلف بكون اوكي اعتقد انو بفتح من تسعة لي خمسة,هو بقفل في ايام الاتنين لكن يوم مختلف بكون اوكي اعتقد ان بفتح من تسعة لخمسة
17,التعداد الكلي لسكان اليابان حوالي مئة و تلاتين مليون,التعداد الكلي لي سكان اليابان حوالي مية و ثلاثين مليون,التعداد الكلي لسكان اليابان حوالي مية و تلاتين مليون
18,اطلع من هنا و اتحول لبص رقم ستة,اطلع من هنا و اتحول لي بص رقم ستة,اطلع من هنا و اتحول لبص رقم ستة
19,داير اشتري تذكارات لاصحابي,داير اشتري تذكارات لي اصحابي,داير اشتري تذكارات لاصحابي
20,ببطء اكتر من فضلك,بي بطء اكثر من فضلك,ببط اكتر من فضلك
21,ده بس رمز لتقديري,ده بس رمز لي تقديري,ده بس رمز لتقديري
22,ممكن طابعات بريد لتلاتة بطاقات بريدية لبريد جوي,ممكن طابعات بريد لي ثلاثة بطاقات بريدية لي بريد جوي,ممكن طابعات بريد لتلاتة بطاقات بريدية لبريد جوي
23,ح اصل لفندقك تسعة مساء,ح اصل لي فندقك تسعة مساء,حاصل لفندقك تسعة مسا
24,هل لازم امشي لبنك ياباني,هل لازم امشي لي بنك ياباني,هل لازم امشي لبنك ياباني
25,هل عندك اي فكة لعداد الباركنق,هل عندك اي فكة لي عداد الباركنق,هل عندك اي فكة لعداد الباركنق
26,سمح كنت بفتش لتاكسي لكن دا احسن,سمح كنت بفتش لي تاكسي لكن ده احسن,سمح كنت بفتش لتاكسي لكن ده احسن
27,داير امشي لمركز هارفارد ممكن تكلمني لمن نصل هناك,داير امشي لي مركز هارفارد ممكن تكلمني لمن نصل هناك,داير امشي لمركز هارفارد ممكن تكلمني لمن نصل هناك
28,عندي زمن كتير,عندي كتير من الزمن,عندي زمن كتير
29,تسعين دولار لتزكرة اتجاه واحد كاش ول بطاقة,تسعين دولار لي تزكرة اتجاه واحد كاش ولا بطاقة,تسعين دولار لتزكرة اتجاه واحد كاش ولا بطاقة
30,هل عندك طرح حريرية انا بفتش لهدية لزوجتي,هل عندك طرح حريرية انا بفتش لي هدية لي زوجتي,هل عندك طرح حريرية انا بفتش لهدية لزوجتي
31,دايرك تعمله اقل بواحد انش هنا,دايرك تعمله اقل بي واحد انش هنا,دايرك تعمله اقل بواحد انش هنا
32,ياتو بص بمشي لمركز المدينة,ياتو بص بمشي لي مركز المدينة,ياتو بص بمشي لمركز المدينة
33,داير اعرف اذا ممكن للطقم دا من الصحون اتشحن لطوكيو,داير اعرف اذا ممكن للطقم ده من الصحون اتشحن لي طوكيو,داير اعرف اذا ممكن للطقم ده من الصحون اتشحن لطوكيو
34,ممكن من فضلك تغير الفستان دا لواحد مقاس اكبر,ممكن من فضلك تغير الفستان ده لي واحد مقاس اكبر,ممكن من فضلك تغير الفستان ده لواحد مقاس اكبر
35,ساكن في شقة بتمنين الف ين في الشهر,ساكن في شقة بي ثمانين الف ين في الشهر,ساكن في شقة بتمنين الف ين في الشهر
36,داير غرفة سنقل مع حمام بتمنين دولار من فضلك,داير غرفة سنقل مع حمام بي ثمانين دولار من فضلك,داير غرفة سنقل مع حمام بتمنين دولار من فضلك
37,ممكن تقيف معاي لصورة,ممكن تقيف معاي لي صورة,ممكن تقيف معاي لصورة
38,هي سعادة عظيمة لي ان ازور مكاتبك الرئيسية و اعمل نقاش كبير معاك شكرا ليك كتير لتعاونك الطيب,هي سعادة عظيمة لي ان ازور مكاتبك الرئيسية و اعمل نقاش كبير معاك شكرا ليك كثير لي تعاونك الطيب,هي سعادة عظيمة لي ان ازور مكاتبك الرييسية و اعمل نقاش كبير معاك شكرا ليك كتير لتعاونك الطيب
39,عنده تشكيلة لسبعة فيتامينات و معادن,عنده تشكيلة لي سبعة فيتامينات و معادن,عنده تشكيلة لسبعة فيتامينات و معادن
40,وين الحلاق,وين مصففين الشعر,وين الحلاق
41,اسف جدا لكن ما عندنا ثاني اوراق انجليزية تنفع,اسف جدا لكن لكن ما عندنا تاني كيف عن اوراق انجليزية,اسف جدا لكن ما عندنا ثاني اوراق انجليزية تنفع
42,داير اأجر النوع دا من العربية لأربعة وعشرين ساعة,داير اأجر النوع ده من العربية لي أربعة وعشرين ساعة,داير اأجر النوع ده من العربية لأربعة وعشرين ساعة
43,طيب بس فكر كم من الزمن شغله ح ياخد لو هو سأل سؤال واحد اضافي لكل زول ياللا خلينا نسرع و نجيب عفشنا ومفروض نمشي لاجراءات الجمارك,طيب بس فكر كم من الزمن شغله حياخد لو هو سأل سؤال واحد اضافي لي كل زول يلا خلينا نسرع و نجيب عفشنا ومفروض نمشي لي اجراءات الجمارك,طيب بس فكر كم من الزمن شغله حياخد لو هو سأل سؤال واحد اضافي لكل زول ياللا خلينا نسرع و نجيب عفشنا ومفروض نمشي لاجراءات الجمارك
44,قهوة بكريم و سكر من فضلك,قهوة بي كريم و سكر من فضلك,قهوة بكريم و سكر من فضلك
45,هل بتمانع اذا اخدت صورة ليك و لتكسيك,هل بتمانع اذا اخدت صورة ليك و لي تكسيك,هل بتمانع اذا اخدت صورة ليك و لتكسيك
46,ممكن من فضلك تخلي بالك لشنطتي,ممكن من فضلك تخلي بالك لي شنطتي,ممكن من فضلك تخلي بالك لشنطتي
47,رايك في الفكرة دي شنو نحن بنقبل بي شرطك بتاع ستة شهور شرطا انو تضمن لينا الحق للبيع لستة شهور بعد نهاية العقد,رايك في الفكرة دي شنو نحن بنقبل بي شرطك بتاع ستة شهور شرطا انو تضمن لينا الحق للبيع لي ستة شهور بعد نهاية العقد,رايك في الفكرة دي شنو نحن بنقبل بي شرطك بتاع ستة شهور شرطا انو تضمن لينا الحق للبيع لستة شهور بعد نهاية العقد
48,هل عندك صناديق لحزم الارسال,هل عندك صناديق لي حزم الارسال,هل عندك صناديق لحزم الارسال
49,داير شامبو لشعر طبيعي,داير شامبو لي شعر طبيعي,داير شامبو لشعر طبيعي
50,من فضلك قوله تاني ببطء اكتر,من فضلك قوله ثاني بي بطء اكثر,من فضلك قوله تاني ببط اكتر
51,كم بتكلف تزكرة ذهاب واياب لاكسفورد,كم بتكلف تزكرة ذهاب و اياب لي اكسفورد,كم بتكلف تزكرة ذهاب واياب لاكسفورد
52,بمشي لنادي رياضي كل يومين,بمشي لي نادي رياضي كل يومين,بمشي لنادي رياضي كل يومين
53,شغال لشركة تجارية,شغال لي شركة تجارية,شغال لشركة تجارية
54,لسه غالي شديد ما ممكن اشيله بتلاتة دولارات,لسه غالي شديد ما ممكن اشيله بي ثلاثة دولارات,لسه غالي شديد ما ممكن اشيله بتلاتة دولارات
55,من فضلك ما تدي المفتاح دا لأي زول تاني غيري,من فضلك ما تدي المفتاح ده لي أي زول ثاني غيري,من فضلك ما تدي المفتاح ده لأي زول تاني غيري
56,خلي قصتي لتحت لو سمحت,خلي قصتي لي تحت لو سمحت,خلي قصتي لتحت لو سمحت
57,عندك اي شي بحوالي تمنين دولار بالظبط,عندك اي شي بي حوالي ثمانين دولار بالظبط,عندك اي شي بحوالي تمنين دولار بالظبط
58,عندي تزكرة جوية لسان فرانسيسكو,عندي تزكرة جوية لي سان فرانسيسكو,عندي تزكرة جوية لسان فرانسيسكو
59,ممكن تنضم لي لقهوة,ممكن تنضم لي لي قهوة,ممكن تنضم لي لقهوة
60,داير شهادة طبية و ايصال لتأميني,داير شهادة طبية و ايصال لي تأميني,داير شهادة طبية و ايصال لتأميني
61,هل عندك دا بأي لون تاني,هل عندك ده بي أي لون تاني,هل عندك ده بأي لون تاني
62,هممم ما شغال ولا شنو ممكن تحركه لمقعد فاضي اذا داير,هممم ما شغال ولا شنو ممكن تحركه لي مقعد فاضي اذا داير,هممم ما شغال ولا شنو ممكن تحركه لمقعد فاضي اذا داير
63,انا بفتش لطريقة اجرب بدلة السباق حقتي,انا بفتش لي طريقة اجرب بدلة السباق حقتي,انا بفتش لطريقة اجرب بدلة السباق حقتي
64,انا شغال لشركة نشر,انا شغال لي شركة نشر,انا شغال لشركة نشر
