,sent,CODA
0,هو هناك بالظبط قدام مكتب معلومات السياح,هو هناك بالظبط قدام مكتب معلومات السياح
1,ما حصل سمعت بالعنوان دا هنا,ما حصل سمعت بالعنوان ده هنا
2,امشي دغري لغاية تشوف صيدلية,امشي دغري لغاية تشوف صيدلية
3,بي كم الفطور,بي كم الفطور
4,كيف ممكن اساعدك,كيف ممكن اساعدك
5,امشي شمال عند الكورنة التالتة,امشي شمال عند الكورنة الثالثة
6,داير كريمة و سكر في قهوتك,داير كريمة و سكر في قهوتك
7,ممكن تصرف شيكي البي متين دولار,ممكن تصرف شيكي البي متين دولار
8,اذا مفروض يظهر من فضلك اتصل على,اذا مفروض يظهر من فضلك اتصل علي
9,وين المقهى,وين المقهى
10,داير جاكيت اطفال,داير جاكيت اطفال
11,اوكي هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص,اوكي هو يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولارات بالظبط زيادة للتسليم الخاص
12,كنت ح اشتري دا لو انا كنت مكانك,كنت حاشتري ده لو انا كنت مكانك
13,ح اواجه اي صعوبات مع الجمارك,حاواجه اي صعوبات مع الجمارك
14,هل عندك جزمة رسمية عريضة في اصابع القدم,هل عندك جزمة رسمية عريضة في اصابع القدم
15,لا ممكن اقترح غرفة مزدوجة يستعملها زول واحد عندنا واحدة,لا ممكن اقترح غرفة مزدوجة يستعملها زول واحد عندنا واحدة
16,داير تجعيدة ضيقة من فضلك,داير تجعيدة ضيقة من فضلك
17,دايرة بيرة,دايرة بيرة
18,صباح الخير كيفك,صباح الخير كيفك
19,آسف ح احتاج اشوف اثبات هوية,آسف حاحتاج اشوف اثبات هوية
20,ياتو نوع من الصوص,ياتو نوع من الصوص
21,دا بارد شوية ممكن تسخنه,ده بارد شوية ممكن تسخنه
22,معليش المكان دا محجوز,معليش المكان ده محجوز
23,انا تمام بس ممكن تتصل ل صحبى,انا تمام بس ممكن تتصل لي صحبى
24,شكرا دا كفاية,شكرا ده كفاية
25,منو صحبك المفضل,منو صحبك المفضل
26,يوم الصحة والرياضة هو عشرة اكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس,يوم الصحة والرياضة هو عشرة اكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس
27,دايرني شوف تحت الكبوت,دايرني شوف تحت الكبوت
28,هل ممكن تساعدني القى شنطتي,هل ممكن تساعدني القى شنطتي
29,هل ممكن تعمل ترتيبات مقدما,هل ممكن تعمل ترتيبات مقدما
30,في زول بيساعدني شكرا ليك,في زول بيساعدني شكرا ليك
31,لمن تصل هناك اسأل زول تاني من فضلك,لمن تصل هناك اسأل زول تاني من فضلك
32,داير تمديد اربعة وعشرين ساعة من فضلك,داير تمديد اربعة وعشرين ساعة من فضلك
33,ديل دولارين اخد الباقي,ديل دولارين اخد الباقي
34,هامبرقر واحد و واحد بيرقر بالجبنة من فضلك,هامبرقر واحد و واحد بيرقر بالجبنة من فضلك
35,العملية ح تكلف كم,العملية حتكلف كم
36,نحن كلنا دايرين ندفع لي وجباتنا,نحن كلنا دايرين ندفع لي وجباتنا
37,الموقع كان في كرسي في اللوبي,الموقع كان في كرسي في اللوبي
38,من فضلك حول الينات دي لي جنيهات,من فضلك حول الينات دي لي جنيهات
39,داير دكشنري مقاس جيب من فضلك,داير دكشنري مقاس جيب من فضلك
40,لي نفرين الساعة سبعة الاسم واتانيبل,لي نفرين الساعة سبعة الاسم واتانيبل
41,ساعتي كانت سيكو ديجيتال,ساعتي كانت سيكو ديجيتال
42,ح يكون شرفنا ان نخدمك بمشروب من اختيارك معاه عشاء دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا, حيكون شرفنا انو نخدمك بمشروب من اختيارك معاه عشاء دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا
43,انت ساكن بي هنا,انت ساكن بي هنا
44,وين دكان الهدايا,وين دكان الهدايا
45,انا في الطريق السريع جنب مورو بي,انا في الطريق السريع جنب مورو بي
46,داير لي ساعة تنبيه من فضلك,داير لي ساعة تنبيه من فضلك
47,بالمناسبة اسمي هيروشي ايجيما,بالمناسبة اسمي هيروشي ايجيما
48,القطر دا بقيف في ليك فورست ول لا,القطر دا بقيف في ليك فورست ولا لأ
49,معظم اليابانيين بياكلوا اخطبوط و حبار,معظم اليابانيين بياكلوا اخطبوط و حبار
50,ممكن اخد تذكرتين درجة تانية الي شيكاغو من فضلك,ممكن اخد تذكرتين درجة ثانية لي شيكاغو من فضلك
51,مشيت نيويورك,مشيت نيويورك
52,رقم الرحلة كم,رقم الرحلة كم
53,واحد الى نيويورك من فضلك,واحد لي نيويورك من فضلك
54,لحوالي ايام قليلة,لحوالي ايام قليلة
55,التاني على الشمال,الثاني على الشمال
