,sent,CODA,prep
0,دا,ده,ده
1,التالتة,الثالثة,التالتة
2,على,علي,على
3,وتمنين,وثمانين,وتمنين
4,تلاتة,ثلاثة,تلاتة
5,دا,ده,ده
6,دا,ده,ده
7,ل,لي,لي
8,دا,ده,ده
9,ول,ولا,ولا
10,لا,لأ,لا
11,تانية,ثانية,تانية
12,الي,لي,الي
13,الى,لي,لي
14,التاني,الثاني,التاني
15,دا,ده,ده
16,دا,ده,ده
17,دا,ده,ده
18,تلاته,ثلاثة,تلاته
19,انه,انو,انه
20,تمانية,ثمانية,تمانية
21,اتنين,اثنين,اتنين
22,خمستاشر,خمستعشر,خمستاشر
23,اتنين,اثنين,اتنين
24,تلاتة,ثلاثة,تلاتة
25,الي,لي,الي
26,خمستاشر,خمستعشر,خمستاشر
27,دا,ده,ده
28,دا,ده,ده
29,دا,ده,ده
30,اشيل,أشيل,اشيل
31,دايرو,دايره,دايرو
32,تلاتين,ثلاثين,تلاتين
33,تضربو,تضربوا,تضربو
34,ول,ولا,ولا
35,اتنين,اثنين,اتنين
36,الشنطه,الشنطة,الشنطه
37,دا,ده,ده
38,حداشر,حدعشر,حداشر
39,بفترض,افترض,بفترض
40,لي,ليه,لي
41,جاء,جا,جا
42,م,ما,ما
43,لي,ليه,لي
44,كتير,كثير,كتير
45,تاني,ثاني,تاني
46,تتلقى,تتلقي,تتلقى
47,اتغدا,اتغدى,اتغدا
48,تلاتة,ثلاثة,تلاتة
49,التلاتاء,الثلاثاء,التلاتا
50,ول,ولا,ولا
51,انزل,أنزل,انزل
52,دا,ده,ده
53,هادئ,هادي,هادي
54,دا,ده,ده
55,اسى,اسي,اسى
56,تانيه,ثانية,تانيه
57,م,ما,ما
58,شويه,شوية,شويه
59,كتيرة,كثيرة,كتيرة
60,الحقيقه,الحقيقة,الحقيقه
61,نكته,نكتة,نكته
62,صغيره,صغيرة,صغيره
63,بيره,بيرة,بيره
64,تلاتة,ثلاثة,تلاتة
65,شويه,شوية,شويه
66,جبنه,جبنة,جبنه
67,مضفره,مضفرة,مضفره
68,القي,القى,القي
69,نضيفه,نضيفة,نضيفه
70,بكره,بكرة,بكره
71,غلطه,غلطة,غلطه
72,مجهزه,مجهزة,مجهزه
73,سته,ستة,سته
74,وتلاتين,وثلاثين,وتلاتين
75,دا,ده,ده
76,جمب,جنب,جمب
77,دا,ده,ده
78,اجرى,أجري,اجرى
79,شرطه,شرطة,شرطه
80,لى,لي,لى
81,تقويه,تقوية,تقويه
82,اشتري,أشتري,اشتري
83,اديني,أديني,اديني
