,sentID.BTEC,split,lang,sent,revised,CODA
0,5,corpus-6-test-corpus-26-train,KHA,هو هناك، بالظبط أمام مكتب معلومات السياح.,هو هناك، بالظبط قدام مكتب معلومات السياح.,هو هناك، بالظبط قدام مكتب معلومات السياح.
1,9,corpus-6-test-corpus-26-train,KHA,ما حصل سمعت بالعنوان دا هنا.,,ما حصل سمعت بالعنوان ده هنا.
2,11,corpus-6-test-corpus-26-train,KHA,أمشي دغري لغاية تشوف صيدلية.,,امشي دغري لغاية تشوف صيدلية.
3,26,corpus-6-test-corpus-26-train,KHA,بي كم الفطور؟,,بي كم الفطور؟
4,27,corpus-6-test-corpus-26-train,KHA,كيف ممكن اساعدك؟,,كيف ممكن اساعدك؟
5,30,corpus-6-test-corpus-26-train,KHA,أمشي شمال عند الكورنة التالتة.,,امشي شمال عند الكورنة الثالثة.
6,50,corpus-6-test-corpus-26-train,KHA,داير كريمة و سكر في قهوتك؟,,داير كريمة و سكر في قهوتك؟
7,64,corpus-6-test-corpus-26-train,KHA,هل يمكنك تصرف شيكي البي متين دولار؟,ممكن تصرف شيكي البي متين دولار؟,ممكن تصرف شيكي البي متين دولار؟
8,74,corpus-6-test-corpus-26-train,KHA,اذا مفروض يظهر، من فضلك اتصل على.,,اذا مفروض يظهر، من فضلك اتصل علي.
9,86,corpus-6-test-corpus-26-train,KHA,وين المقهى؟,,وين المقهى؟
10,87,corpus-6-test-corpus-26-train,KHA,داير بلوفر أطفال.,داير جاكيت أطفال.,داير جاكيت اطفال.
11,91,corpus-6-test-corpus-26-train,KHA,اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.,,اوكي. هو يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولارات بالظبط زيادة للتسليم الخاص.
12,120,corpus-6-test-corpus-26-test,KHA,كنت ح اشتري دا لو انا كنت مكانك.,,كنت حاشتري ده لو انا كنت مكانك.
13,129,corpus-6-test-corpus-26-train,KHA,ح أواجه أي صعوبات مع الجمارك؟,,حاواجه اي صعوبات مع الجمارك؟
14,130,corpus-6-test-corpus-26-train,KHA,هل عندك جزمة رسمي عريضة عند اصابع القدم؟,هل عندك جزمة رسمية عريضة في اصابع القدم؟,هل عندك جزمة رسمية عريضة في اصابع القدم؟
15,140,corpus-6-test-corpus-26-train,KHA,لا. ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.,لا. ممكن اقترح غرفة مزدوجة يستعملها زول واحد؟ عندنا واحدة.,لا. ممكن اقترح غرفة مزدوجة يستعملها زول واحد؟ عندنا واحدة.
16,143,corpus-6-test-corpus-26-train,KHA,داير تجعيدة ضيقة، من فضلك.,,داير تجعيدة ضيقة، من فضلك.
17,145,corpus-6-test-corpus-26-train,KHA,دايرة بيرة.,,دايرة بيرة.
