,sent,CODA,prep
0,هو هناك بالظبط قدام مكتب معلومات السياح,هو هناك بالظبط قدام مكتب معلومات السياح,هو هناك بالظبط قدام مكتب معلومات السياح
1,ما حصل سمعت بالعنوان دا هنا,ما حصل سمعت بالعنوان ده هنا,ما حصل سمعت بالعنوان ده هنا
2,امشي دغري لغاية تشوف صيدلية,امشي دغري لغاية تشوف صيدلية,امشي دغري لغاية تشوف صيدلية
3,بي كم الفطور,بي كم الفطور,بي كم الفطور
4,كيف ممكن اساعدك,كيف ممكن اساعدك,كيف ممكن اساعدك
5,امشي شمال عند الكورنة التالتة,امشي شمال عند الكورنة الثالثة,امشي شمال عند الكورنة التالتة
6,داير كريمة و سكر في قهوتك,داير كريمة و سكر في قهوتك,داير كريمة و سكر في قهوتك
7,ممكن تصرف شيكي البي متين دولار,ممكن تصرف شيكي البي متين دولار,ممكن تصرف شيكي البي متين دولار
8,اذا مفروض يظهر من فضلك اتصل على,اذا مفروض يظهر من فضلك اتصل علي,اذا مفروض يظهر من فضلك اتصل على
9,وين المقهى,وين المقهى,وين المقهى
10,داير جاكيت اطفال,داير جاكيت اطفال,داير جاكيت اطفال
11,اوكي هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص,اوكي هو يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولارات بالظبط زيادة للتسليم الخاص,اوكي هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص
12,هل عندك جزمة رسمية عريضة في اصابع القدم,هل عندك جزمة رسمية عريضة في اصابع القدم,هل عندك جزمة رسمية عريضة في اصابع القدم
13,لا ممكن اقترح غرفة مزدوجة يستعملها زول واحد عندنا واحدة,لا ممكن اقترح غرفة مزدوجة يستعملها زول واحد عندنا واحدة,لا ممكن اقترح غرفة مزدوجة يستعملها زول واحد عندنا واحدة
14,داير تجعيدة ضيقة من فضلك,داير تجعيدة ضيقة من فضلك,داير تجعيدة ضيقة من فضلك
15,دايرة بيرة,دايرة بيرة,دايرة بيرة
16,صباح الخير كيفك,صباح الخير كيفك,صباح الخير كيفك
17,ياتو نوع من الصوص,ياتو نوع من الصوص,ياتو نوع من الصوص
18,دا بارد شوية ممكن تسخنه,ده بارد شوية ممكن تسخنه,ده بارد شوية ممكن تسخنه
19,معليش المكان دا محجوز,معليش المكان ده محجوز,معليش المكان ده محجوز
20,انا تمام بس ممكن تتصل ل صحبى,انا تمام بس ممكن تتصل لي صحبى,انا تمام بس ممكن تتصل لي صحبى
21,شكرا دا كفاية,شكرا ده كفاية,شكرا ده كفاية
