,raw,coda
0,هو,هو
1,هناك,هناك
2,بالظبط,بالظبط
3,قدام,قدام
4,مكتب,مكتب
5,معلومات,معلومات
6,السياح,السياح
7,ما,ما
8,حصل,حصل
9,سمعت,سمعت
10,بالعنوان,بالعنوان
11,دا,ده
12,هنا,هنا
13,امشي,امشي
14,دغري,دغري
15,لغاية,لغاية
16,تشوف,تشوف
17,صيدلية,صيدلية
18,بي,بي
19,كم,كم
20,الفطور,الفطور
21,كيف,كيف
22,ممكن,ممكن
23,اساعدك,اساعدك
24,امشي,امشي
25,شمال,شمال
26,عند,عند
27,الكورنة,الكورنة
28,التالتة,الثالثة
29,داير,داير
30,كريمة,كريمة
31,و,و
32,سكر,سكر
33,في,في
34,قهوتك,قهوتك
35,ممكن,ممكن
36,تصرف,تصرف
37,شيكي,شيكي
38,البي,البي
39,متين,متين
40,دولار,دولار
41,اذا,اذا
42,مفروض,مفروض
43,يظهر,يظهر
44,من,من
45,فضلك,فضلك
46,اتصل,اتصل
47,على,علي
48,وين,وين
49,المقهى,المقهى
50,داير,داير
51,جاكيت,جاكيت
52,اطفال,اطفال
53,اوكي,اوكي
54,هو,هو
55,يكلف,يكلف
56,خمسة,خمسة
57,وتمنين,وثمانين
58,سنت,سنت
59,للبريد,للبريد
60,العادي,العادي
61,و,و
62,تلاتة,ثلاثة
63,دولارات,دولارات
64,بالظبط,بالظبط
65,زيادة,زيادة
66,للتسليم,للتسليم
67,الخاص,الخاص
68,هل,هل
69,عندك,عندك
70,جزمة,جزمة
71,رسمية,رسمية
72,عريضة,عريضة
73,في,في
74,اصابع,اصابع
75,القدم,القدم
76,لا,لا
77,ممكن,ممكن
78,اقترح,اقترح
79,غرفة,غرفة
80,مزدوجة,مزدوجة
81,يستعملها,يستعملها
82,زول,زول
83,واحد,واحد
84,عندنا,عندنا
85,واحدة,واحدة
86,داير,داير
87,تجعيدة,تجعيدة
88,ضيقة,ضيقة
89,من,من
90,فضلك,فضلك
91,دايرة,دايرة
92,بيرة,بيرة
93,صباح,صباح
94,الخير,الخير
95,كيفك,كيفك
96,ياتو,ياتو
97,نوع,نوع
98,من,من
99,الصوص,الصوص
100,دا,ده
101,بارد,بارد
102,شوية,شوية
103,ممكن,ممكن
104,تسخنه,تسخنه
105,معليش,معليش
106,المكان,المكان
107,دا,ده
108,محجوز,محجوز
109,انا,انا
110,تمام,تمام
111,بس,بس
112,ممكن,ممكن
113,تتصل,تتصل
