,sent,CODA,prep
0,كنت ح اشتري دا لو انا كنت مكانك,كنت حاشتري ده لو انا كنت مكانك,كنت حاشتري ده لو انا كنت مكانك
1,ح اواجه اي صعوبات مع الجمارك,حاواجه اي صعوبات مع الجمارك,حاواجه اي صعوبات مع الجمارك
2,آسف ح احتاج اشوف اثبات هوية,آسف حاحتاج اشوف اثبات هوية,آسف حاحتاج اشوف اثبات هوية
3,العملية ح تكلف كم,العملية حتكلف كم,العملية حتكلف كم
4,ح يكون شرفنا ان نخدمك بمشروب من اختيارك معاه عشاء دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا, حيكون شرفنا انو نخدمك بمشروب من اختيارك معاه عشاء دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا,حيكون شرفنا ان نخدمك بمشروب من اختيارك معاه عشا دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا
5,هل الخطوط الجوية ح تدفع لي عشان اشتري بعض الضروريات الشخصية,هل الخطوط الجوية حتدفع لي عشان اشتري بعض الضروريات الشخصية,هل الخطوط الجوية حتدفع لي عشان اشتري بعض الضروريات الشخصية
6,ما في صابون في غرفتي,مافي صابون في غرفتي,ما في صابون في غرفتي
7,ح تستغرق كم للطلب,حتستغرق كم للطلب,حتستغرق كم للطلب
8,كم من الزمن ح يكون قبل يطلع,كم من الزمن حيكون قبل يطلع,كم من الزمن حيكون قبل يطلع
9,وين الجولة ح تنتهي و متين,وين الجولة حتنتهي و متين,وين الجولة حتنتهي و متين
10,ح ادفع خمسين دولار,حادفع خمسين دولار,حادفع خمسين دولار
11,انا ايكيدا عندي حجز لطربيزة الساعة ستة و نص الليلة لكن انا آسف ح اجي نص ساعة متأخر,انا ايكيدا عندي حجز لطربيزة الساعة ستة و نص الليلة لكن انا آسف حأجي نص ساعة متأخر,انا ايكيدا عندي حجز لطربيزة الساعة ستة و نص الليلة لكن انا آسف حاجي نص ساعة متأخر
12,ح يكون عندي ليك الاقتراح الأسبوع الجاي,حيكون عندي ليك الاقتراح الأسبوع الجاي,حيكون عندي ليك الاقتراح الأسبوع الجاي
13,لازم امشي ح اضرب ليك بعدين,لازم امشي حأضرب ليك بعدين,لازم امشي حاضرب ليك بعدين
14,ح تحولهم لي دولارات من فضلك,حتحولهم لي دولارات من فضلك,حتحولهم لي دولارات من فضلك
15,نحن محظوظين جدا عندهم واحد مقاس اربعة في متجر ال الا موانا,نحن محظوظين جدا عندهم واحد مقاس اربعة في متجر الالا موانا,نحن محظوظين جدا عندهم واحد مقاس اربعة في متجر ال الا موانا
16,داير واحد داك ال ح يحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم,داير واحد داك الحيحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم,داير واحد داك ال حيحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم
17,م شكلي ح القى موية سخنة,ما شكلي حألقى موية سخنة,ما شكلي حالقى موية سخنة
18,هل ح نصل اي حتى اذا اتكلمنا كدا,هل حنصل اي حتّى اذا اتكلمنا كده,هل حنصل اي حتى اذا اتكلمنا كده
19,ح اديك وصفة طبية شيلا للصيدلية,حاديك وصفة طبية شيلها للصيدلية,حاديك وصفة طبية شيلا للصيدلية
20,ايوة عندنا داك ح نجهزوا ليك,ايوة عندنا داك حنجهزوا ليك,ايوة عندنا داك حنجهزوا ليك
21,ح تمسك عفشي لغاية الساعة تلاتة,حتمسك عفشي لغاية الساعة ثلاثة,حتمسك عفشي لغاية الساعة تلاتة
22,في الحقيقة عندي خبر انا ح اتزوج,في الحقيقة عندي خبر انا حأتزوّج,في الحقيقة عندي خبر انا حاتزوج
23,ح اصل يوم تسعه مارس وماشي يوم اربعتعشر,حأصل يوم تسعة مارس وماشي يوم اربعتعشر,حاصل يوم تسعه مارس وماشي يوم اربعتعشر
24,ح اشوف اذا في واحد من ديل مناسب,حاشوف اذا في واحد من ديل مناسب,حاشوف اذا في واحد من ديل مناسب
25,ح احتاج ل كردت كارد,حأحتاج لي كردت كارد,حاحتاج لي كردت كارد
26,هل دا ح يفسد,هل ده حيفسد,هل ده حيفسد
27,امشي دغري على طول النهر حوالي نص ميل ح تجي الحديقة,امشي دغري على طول النهر حوالي نص ميل حتجي الحديقة,امشي دغري على طول النهر حوالي نص ميل حتجي الحديقة
28,اوكي ح ارسله لي لاس فيجاس ليك,اوكي حارسله لي لاس فيجاس ليك,اوكي حارسله لي لاس فيجاس ليك
29,الان موسم المحار ف ح يكونوا كويسين,الان موسم المحار فحيكونوا كويسين,الان موسم المحار فح يكونوا كويسين
30,ح اراجع حوالي الساعة تسعة في المساء,حاراجع حوالي الساعة تسعة في المسا,حاراجع حوالي الساعة تسعة في المسا
31,انا ما استعملت خدمة الغسيل بتاعتك ح تراجع دا تاني,انا ما استعملت خدمة الغسيل بتاعتك حتراجع ده تاني,انا ما استعملت خدمة الغسيل بتاعتك حتراجع ده تاني
32,طيب اذا انتو الاتنين مصرين ح امشي معاكم,طيب اذا انتو الاثنين مصرين حامشي معاكم,طيب اذا انتو الاتنين مصرين حامشي معاكم
33,طيب احتمال نحن ح نكون كويسين لفترة طويلة معا,طيب احتمال نحن حنكون كويسين لفترة طويلة معا,طيب احتمال نحن حنكون كويسين لفترة طويلة معا
34,ح اخد اتنين من ديل,حاخد اثنين من ديل,حاخد اتنين من ديل
35,اكيد امشي دغري و لف يمين عند الكورنة التالتة ح تلقاه على يمينك,اكيد امشي دغري و لف يمين عند الكورنة الثالثة حتلقاه على يمينك,اكيد امشي دغري و لف يمين عند الكورنة التالتة حتلقاه على يمينك
36,هل ب تعرف كاثي الليلة عيد ميلادها,هل بتعرف كاثي الليلة عيد ميلادها,هل بتعرف كاثي الليلة عيد ميلادها
37,انا طالع اسى عشان كدا ح ارفعه,انا طالع هسي عشان كده حارفعه,انا طالع اسى عشان كده حارفعه
38,ح اجرب شوية عصير,حاجرب شوية عصير,حاجرب شوية عصير
39,ح اقيد دا للشرطة,حاقيد ده للشرطة,حاقيد ده للشرطة
40,رحلة المشي حقتنا ح تكون متعة شديد,رحلة المشي حقتنا حتكون متعة شديد,رحلة المشي حقتنا حتكون متعة شديد
41,ما عندنا شنطة للكمية ديك عشان كدا ح اخته في الشنطة البلاستيكية الكبيرة دي,ما عندنا شنطة للكمية ديك عشان كدا حاخته في الشنطة البلاستيكية الكبيرة دي,ما عندنا شنطة للكمية ديك عشان كده حاخته في الشنطة البلاستيكية الكبيرة دي
42,ح اخد الواحد دا من فضلك,حاخد الواحد دا من فضلك,حاخد الواحد ده من فضلك
43,معليش ح يكونوا جاهزين في حوالي خمسة دقايق,معليش حيكونوا جاهزين في حوالي خمسة دقايق,معليش حيكونوا جاهزين في حوالي خمسة دقايق
44,داير ارسل دا للمغسلة  متين ح يكون جاهز,داير ارسل دا للمغسلة  متين حيكون جاهز,داير ارسل ده للمغسلة متين حيكون جاهز
45,اوكي ح اخد صحن مقاس متوسط و كورة رز,اوكي حاخد صحن مقاس متوسط و كورة رز,اوكي حاخد صحن مقاس متوسط و كورة رز
46,انت بالتأكيد ح ترسلهم صاح,انت بالتأكيد حترسلهم صاح,انت بالتأكيد حترسلهم صاح
47,لمن يصل ح ندفع عشان نشحنوا لي عنوان بيتك,لمن يصل حندفع عشان نشحنوا لي عنوان بيتك,لمن يصل حندفع عشان نشحنوا لي عنوان بيتك
48,اوه اوكي فهمت ح اجي لي محلك,اوه اوكي فهمت حأجي لي محلك,اوه اوكي فهمت حاجي لي محلك
49,ح تجيب لي قهوة,حتجيب لي قهوة,حتجيب لي قهوة
50,هل نحن محتاجين نخت دا في تصويت اذا لا اعتقد انو وصلنا لي خاتمة ال ح ارسلها لمجلس ادارتنا صباح بكرة,هل نحن محتاجين نخت ده في تصويت اذا لأ اعتقد انو وصلنا لي خاتمة الحأرسلها لي مجلس ادارتنا صباح بكرة,هل نحن محتاجين نخت ده في تصويت اذا لا اعتقد انو وصلنا لي خاتمة ال حارسلها لمجلس ادارتنا صباح بكرة
51,ح آخد لقطة بتاعت جاك دانيلس,حاخد لقطة بتاعت جاك دانيلس,حآخد لقطة بتاعت جاك دانيلس
52,ح اخد كيس فشار من فضلك,حاخد كيس فشار من فضلك,حاخد كيس فشار من فضلك
53,زول الصيانة ح يجي قريب,زول الصيانة حيجي قريب,زول الصيانة حيجي قريب
54,انا اسف ح اجي راجع بعدين,انا آسف حأجي راجع بعدين,انا اسف حاجي راجع بعدين
55,ح اكون ملتزم شديد اذا اخدتني معاك للشاطي,حاكون ملتزم شديد اذا اخدتني معاك للشاطي,حاكون ملتزم شديد اذا اخدتني معاك للشاطي
56,داك نفس الكنت ح اقولوا,داك نفس الكنت حاقوله,داك نفس الكنت حاقولوا
57,ح ارجع ليك لمن نكون مشغولين اقل,حارجع ليك لمن نكون مشغولين اقل,حارجع ليك لمن نكون مشغولين اقل
58,اعبر الجسر هناك و ح تلقى المكتبة على جانب يدك الشمال,اعبر الجسر هناك و حتلقى المكتبة على جانب يدك الشمال,اعبر الجسر هناك و حتلقى المكتبة على جانب يدك الشمال
59,ح يكون هناك تأخير طفيف,حيكون هناك تأخير طفيف,حيكون هناك تأخير طفيف
60,ح اكون هناك حوالي ستة مساء,حاكون هناك حوالي ستة مساء,حاكون هناك حوالي ستة مسا
61,هل الدكان ده ح يكون فاتح بكرة,هل الدكان ده حيكون فاتح بكرة,هل الدكان ده حيكون فاتح بكرة
62,ح اخد هوت هوق و كولا,حاخد هوت هوق و كولا,حاخد هوت هوق و كولا
63,ح يكون عندي مقاعد درجة رجال الاعمال صاح,حيكون عندي مقاعد درجة رجال الاعمال صاح,حيكون عندي مقاعد درجة رجال الاعمال صاح
64,ح اعمل جوز من سندوتشات لحم الخنزير,حاعمل جوز من سندوتشات لحم الخنزير,حاعمل جوز من سندوتشات لحم الخنزير
65,ح اخد شوكولاتة سخنة,حاخد شوكولاتة سخنة,حاخد شوكولاتة سخنة
66,ح اخطط ارسل الفواتير لاحتياجاتي اليومية عشان كده وريني العنوان و الاسم بتاع الزول المسؤول,حاخطط ارسل الفواتير لاحتياجاتي اليومية عشان كده وريني العنوان و الاسم بتاع الزول المسؤول,حاخطط ارسل الفواتير لاحتياجاتي اليومية عشان كده وريني العنوان و الاسم بتاع الزول المسؤول
67,ح ارسله ليك عشان كدا انتظر هنا من فضلك,حارسله ليك عشان كده انتظر هنا من فضلك,حارسله ليك عشان كده انتظر هنا من فضلك
68,لا من فضلك اخد مقعد وانتظر  ح اجي راجع حالا,لا من فضلك اخد مقعد وانتظر  حأجي راجع حالا,لا من فضلك اخد مقعد وانتظر حاجي راجع حالا
69,ح اتصل بي زول,حاتصل بي زول,حاتصل بي زول
70,ما ح تاخد كباية شاي,ما حتاخد كباية شاي,ما حتاخد كباية شاي
71,لو داير ح نحجز هنا,لو داير حنحجز هنا,لو داير حنحجز هنا
72,اليوم ح امشي اشوف شايناتاون عاملة كيف,اليوم حامشي اشوف شايناتاون عاملة كيف,اليوم حامشي اشوف شايناتاون عاملة كيف
73,ح يكون جاهز بعد بكرة في المساء,حيكون جاهز بعد بكرة في المساء,حيكون جاهز بعد بكرة في المسا
74,ح اكون راجع لليابان الاتنين الجاي,حاكون راجع لليابان الاتنين الجاي,حاكون راجع لليابان الاتنين الجاي
