,sent,CODA
0,انا تمام. بس ممكن تتصل ل صحبى؟,انا تمام. بس ممكن تتصل لي صحبى؟
1,م شكلي ح القى موية سخنة.,ما شكلي حألقى موية سخنة.
2,م قادر اعدل الصورة.,ما قادر اعدل الصورة.
3,م عندك دروس تجريبيه؟,ما عندك دروس تجريبيه؟
4,ح احتاج ل كردت كارد.,حأحتاج لي كردت كارد.
5,الان موسم المحار، ف ح يكونوا كويسين.,الان موسم المحار، فحيكونوا كويسين.
6,هل ب تعرف كاثي؟ الليلة عيد ميلادها.,هل بتعرف كاثي؟ الليلة عيد ميلادها.
7,حجز الساعة سبعة ، تحت اسم مانو.,حجز الساعة سبعة ، تحت اسم مانو.
8,هل دا ف الحد بتاع اعفاء الضرائب؟,هل ده في الحد بتاع اعفاء الضرائب؟
9,غير قانوني انك تجيبه في البلد - آسف . طيب، اظن ده كل شي.,غير قانوني انك تجيبه في البلد - آسف . طيب، اظن ده كل شي.
